,Date_of_publication,Deceased,Hospital_admission,Total_reported,IC_admission,weekly_Deceased,weekly_Hospital_admission,weekly_Total_reported,weekly_IC_admission,biweekly_Deceased,biweekly_Hospital_admission,biweekly_Total_reported,biweekly_IC_admission,monthly_Deceased,monthly_Hospital_admission,monthly_Total_reported,monthly_IC_admission
0,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
2,2020-02-27,0.0,1.0,0.0,,,,,,,,,,,,,
3,2020-02-28,0.0,0.0,1.0,,,,,,,,,,,,,
4,2020-02-29,0.0,1.0,1.0,,,,,,,,,,,,,
5,2020-03-01,0.0,0.0,3.0,,,,,,,,,,,,,
6,2020-03-02,0.0,0.0,5.0,,,,,,,,,,,,,
7,2020-03-03,0.0,1.0,4.0,,,,,,,,,,,,,
8,2020-03-04,0.0,1.0,10.0,,0.0,1.0,3.0,,,,,,,,,
9,2020-03-05,0.0,3.0,17.0,,0.0,1.0,6.0,,,,,,,,,
10,2020-03-06,0.0,5.0,40.0,,0.0,2.0,11.0,,,,,,,,,
11,2020-03-07,1.0,7.0,50.0,,0.0,2.0,18.0,,,,,,,,,
12,2020-03-08,1.0,11.0,32.0,,0.0,4.0,23.0,,,,,,,,,
13,2020-03-09,1.0,5.0,61.0,,0.0,5.0,31.0,,,,,,,,,
14,2020-03-10,0.0,9.0,130.0,,0.0,6.0,49.0,,,,,,,,,
15,2020-03-11,1.0,17.0,123.0,,1.0,8.0,65.0,,0.0,4.0,34.0,,,,,
16,2020-03-12,0.0,22.0,127.0,,1.0,11.0,80.0,,0.0,6.0,43.0,,,,,
17,2020-03-13,2.0,23.0,113.0,,1.0,13.0,91.0,,0.0,8.0,51.0,,,,,
18,2020-03-14,4.0,28.0,219.0,,1.0,16.0,115.0,,1.0,9.0,67.0,,,,,
19,2020-03-15,7.0,24.0,173.0,,2.0,18.0,135.0,,1.0,11.0,79.0,,,,,
20,2020-03-16,4.0,40.0,270.0,,3.0,23.0,165.0,,2.0,14.0,98.0,,,,,
21,2020-03-17,17.0,105.0,288.0,,5.0,37.0,188.0,,3.0,21.0,118.0,,,,,
22,2020-03-18,15.0,91.0,347.0,,7.0,48.0,220.0,,4.0,28.0,142.0,,,,,
23,2020-03-19,23.0,73.0,396.0,,10.0,55.0,258.0,,5.0,33.0,169.0,,,,,
24,2020-03-20,28.0,141.0,533.0,,14.0,72.0,318.0,,7.0,43.0,204.0,,,,,
25,2020-03-21,30.0,200.0,637.0,,18.0,96.0,378.0,,10.0,56.0,246.0,,,,,
26,2020-03-22,44.0,161.0,605.0,,23.0,116.0,439.0,,13.0,67.0,287.0,,,,,
27,2020-03-23,32.0,229.0,553.0,,27.0,143.0,480.0,,15.0,83.0,322.0,,,,,
28,2020-03-24,62.0,245.0,749.0,,33.0,163.0,546.0,,19.0,100.0,367.0,,,,,
